gene,class
RTBDN,L4
SPATA6,L6
PPARG,L2
NUP210,L6
ENOSF1,L6
PTCD3,L6
IMMT,L4
RAMP1,L1
PRKAA1,L6
MYBBP1A,L3
UBE2G1,L6
TMEM128,L6
LANCL2,L2
H3F3B,L6
CLEC10A,L1
HSPA12B,L1
SNAP25,L5
BTBD3,L2
PCNA,L6
SSTR4,L2
HAPLN2,L6
ACY3,L1
MMACHC,L6
NASP,L6
VSTM2L,L2
AP3B1,L6
ZBED3,L6
KANK4,L6
FBXO44,L2
DCTN4,L6
ZMYM5,L6
ALOX5AP,L1
HMGB1P5,L6
PIK3C2B,L6
DCLK1,L4
CCNA1,L3
SPG20,L6
RFXAP,L6
TPT1,L1
RFC3,L2
TBC1D8B,L6
SLC39A11,L6
PDE6B,L6
CNDP2,L6
RTN3,L4
PDZD2,L2
GIMAP6,L1
BTG1,L1
C12orf29,L2
KRAS,L5
IMPA1,L6
LRRCC1,L6
SWAP70,L6
LYVE1,L1
AMPD3,L6
SBF2,L6
HSD17B4,L6
ZFC3H1,L6
DUSP26,L2
DPF2,L6
MEN1,L4
CTIF,L3
IRAK2,L6
PRPF38B,L6
SYT6,L6
PSRC1,L6
SORT1,L6
PTGFRN,L4
CEPT1,L6
CD101,L4
NGF,L1
SLC38A2,L6
YWHAQ,L6
LDHA,L5
CDC73,L6
RPS15A,L1
RBM17,L6
IL15RA,L1
KCTD1,L2
C12orf39,L6
DDB2,L6
RAB33A,L6
FOLH1B,L6
YARS,L4
CYP2J2,L6
ZCCHC11,L6
PRPF38A,L6
RNF138,L6
FHOD3,L3
TPGS2,L3
TMEM165,L6
PDGFRA,L6
STT3A,L6
ADAMTS8,L2
ETS1,L2
TMED7,L6
NREP,L4
AGTPBP1,L6
PSAT1,L6
TAOK3,L6
P2RX4,L1
TRAFD1,L6
DMTF1,L6
HTR1B,L3
EPHA7,L5
LCA5,L6
PRR5L,L6
LMO2,L1
PHF21A,L6
CD63,L1
TESPA1,L2
TSPAN31,L6
TFCP2,L6
MAP7,L6
NMBR,L1
SEMA4F,L3
DYSF,L6
KCNMB4,L6
CPM,L6
MDM2,L6
BCMO1,L6
DYNC1LI2,L6
SLC9A5,L3
EGLN1,L6
CAPN9,L6
RGS8,L2
CEP350,L6
SP110,L6
DOCK10,L6
SERPINE2,L2
DNAJB2,L6
TMBIM1,L6
CYP27A1,L6
ARMC9,L3
TSGA10,L6
TMEM127,L3
C2orf49,L6
KIAA1033,L6
FLNB,L6
NEK3,L6
RCBTB1,L6
COG3,L6
ITM2B,L1
NUDT15,L4
RCBTB2,L6
RAPGEF5,L6
RAC1,L6
AOAH,L1
DGKB,L2
