gene,class
SECTM1,BIPO
SEMA6A,BIPO
SEPTIN11,BIPO
SERPINA1,BIPO
SERPINF1,BIPO
SESTD1,BIPO
SEZ6L,BIPO
SFRP1,BIPO
SFTA2,BIPO
SGCG,BIPO
SH2B1,BIPO
SHANK2,BIPO
SHANK3,BIPO
SHC4,BIPO
SIGMAR1,BIPO
SIRT1,BIPO
SLC12A6,BIPO
SLC14A2,BIPO
SLC17A6,BIPO
SLC17A7,BIPO
SLC18A1,BIPO
SLC18A2,BIPO
SLC1A1,BIPO
SLC1A2,BIPO
SLC1A3,BIPO
SLC1A4,BIPO
SLC1A6,BIPO
SLC22A16,BIPO
SLC25A17,BIPO
SLC25A26,BIPO
SLC25A4,BIPO
SLC25A6,BIPO
SLC35F4,BIPO
SLC39A3,BIPO
SLC4A10,BIPO
SLC52A2,BIPO
SLC5A3,BIPO
SLC6A13,BIPO
SLC6A2,BIPO
SLC6A3,BIPO
SLC6A4,BIPO
SLC8A1-AS1,BIPO
SLIT1,BIPO
SLITRK2,BIPO
SMG6,BIPO
SMIM4,BIPO
SMIM8,BIPO
SMPD1,BIPO
SMS,BIPO
SMUG1,BIPO
SNAP25,BIPO
SND1,BIPO
SNED1,BIPO
SNORD69,BIPO
SNU13,BIPO
SNX7,BIPO
SOCS1,BIPO
SOCS5,BIPO
SOD1,BIPO
SOD2,BIPO
SORCS2,BIPO
SORL1,BIPO
SOS1,BIPO
SOSTDC1,BIPO
SOX2-OT,BIPO
SP4,BIPO
SP8,BIPO
SPCS1,BIPO
SPG11,BIPO
SPR,BIPO
SPTLC1,BIPO
SREBF2,BIPO
SRPK2,BIPO
SRR,BIPO
SRRT,BIPO
SRSF3,BIPO
SS18L1,BIPO
SSBP2,BIPO
SST,BIPO
SSTR5,BIPO
SSTR5-AS1,BIPO
ST13,BIPO
ST3GAL1,BIPO
ST3GAL3,BIPO
ST8SIA2,BIPO
STAB1,BIPO
STAR,BIPO
STARD9,BIPO
STAT1,BIPO
STAT5A,BIPO
STAT5B,BIPO
STIN2-VNTR,BIPO
STK4,BIPO
STT3A,BIPO
STT3A-AS1,BIPO
STX17-AS1,BIPO
STX2,BIPO
STXBP3,BIPO
SVEP1,BIPO
SYN2,BIPO
SYN3,BIPO
SYNE1,BIPO
SYNGR1,BIPO
SYNJ1,BIPO
SYP,BIPO
TAAR6,BIPO
TAC1,BIPO
TACR1,BIPO
TAF15,BIPO
TAF9BP2,BIPO
TAGLN,BIPO
TBC1D22A,BIPO
TBC1D9,BIPO
TBX1,BIPO
TCF3,BIPO
TCF4,BIPO
TCF7L2,BIPO
TDO2,BIPO
TEMPS,BIPO
TENM3,BIPO
TENM4,BIPO
TERF2IP,BIPO
TERT,BIPO
TG,BIPO
TGFB1,BIPO
TGFB2,BIPO
TGM2,BIPO
TH,BIPO
THOP1,BIPO
THRA,BIPO
THRA1/BTR,BIPO
THSD7A,BIPO
TIMELESS,BIPO
TLCD4,BIPO
TLCD4-RWDD3,BIPO
TLE4,BIPO
TLL2,BIPO
TLR1,BIPO
TLR2,BIPO
TLR4,BIPO
TLR5,BIPO
TLR6,BIPO
TMEM132C,BIPO
TMEM165,BIPO
TMPRSS13,BIPO
TMPRSS5,BIPO
TMSB10,BIPO
TMTC1,BIPO
TNF,BIPO
TNFSF10,BIPO
TNFSF12,BIPO
TNFSF12-TNFSF13,BIPO
TNR,BIPO
TOM1,BIPO
TP53,BIPO
TPH1,BIPO
TPH2,BIPO
TPI1,BIPO
TPO,BIPO
TPSG1,BIPO
TPTEP2-CSNK1E,BIPO
TPX2,BIPO
TRAF3IP2-AS1,BIPO
TRANK1,BIPO
TRIM26,BIPO
TRIM42,BIPO
TRPC3,BIPO
TRPC4AP,BIPO
TRPC7,BIPO
TRPM2,BIPO
TRPM2-AS,BIPO
TRPV6,BIPO
TSBP1,BIPO
TSBP1-AS1,BIPO
TSHB,BIPO
TSHR,BIPO
TSHZ1,BIPO
TSNAX,BIPO
TSNAX-DISC1,BIPO
TSPAN32,BIPO
TSPAN8,BIPO
TSPO,BIPO
TTLL6,BIPO
TUBA8,BIPO
TUFM,BIPO
TUG1,BIPO
TWIST2,BIPO
TWNK,BIPO
TYR,BIPO
UBC,BIPO
UCP2,BIPO
UFD1,BIPO
ULK4,BIPO
USP46,BIPO
USP8,BIPO
UTS2,BIPO
UTS2R,BIPO
UXS1,BIPO
VAC14,BIPO
VAMP2,BIPO
VAMP3,BIPO
VAMP7,BIPO
VAPA,BIPO
VDR,BIPO
VEGFA,BIPO
VGF,BIPO
VIP,BIPO
VIPR2,BIPO
VN1R17P,BIPO
VPS53,BIPO
VRK2,BIPO
